i,r(m),T(K),rho(kg/m³),kappa(m2/kg)
0,7.100764E+08,0.000000E+00,0.000000E+00,0.000000E+00
1,7.093244E+08,3.379636E+03,2.163524E-08,2.480119E+01
2,7.092541E+08,3.573309E+03,3.028525E-08,2.672381E+01
3,7.091783E+08,3.826212E+03,4.206871E-08,2.737703E+01
4,7.090959E+08,4.133144E+03,5.814973E-08,2.798765E+01
5,7.090062E+08,4.488020E+03,8.015188E-08,2.625565E+01
6,7.089085E+08,4.887027E+03,1.103146E-07,2.517004E+01
7,7.088019E+08,5.329075E+03,1.517126E-07,2.399474E+01
8,7.086856E+08,5.815187E+03,2.085649E-07,2.281158E+01
9,7.085588E+08,6.347784E+03,2.866621E-07,2.165611E+01
10,7.084205E+08,6.930293E+03,3.939580E-07,2.054686E+01
11,7.082697E+08,7.566856E+03,5.413734E-07,1.948823E+01
12,7.081052E+08,8.262201E+03,7.439096E-07,1.848131E+01
13,7.079259E+08,9.021603E+03,1.022171E-06,1.752513E+01
14,7.077303E+08,9.850881E+03,1.404459E-06,1.661785E+01
15,7.075169E+08,1.075642E+04,1.929644E-06,1.575731E+01
16,7.072843E+08,1.174520E+04,2.651111E-06,1.494128E+01
17,7.070306E+08,1.282486E+04,3.642174E-06,1.416754E+01
18,7.067540E+08,1.400375E+04,5.003513E-06,1.343396E+01
19,7.064524E+08,1.529096E+04,6.873380E-06,1.273849E+01
20,7.061235E+08,1.669643E+04,9.441600E-06,1.207917E+01
21,7.057649E+08,1.823102E+04,1.296880E-05,1.145414E+01
22,7.053741E+08,1.990656E+04,1.781279E-05,1.086165E+01
23,7.049480E+08,2.173599E+04,2.446473E-05,1.030001E+01
24,7.044836E+08,2.373341E+04,3.359882E-05,9.767631E+00
25,7.039774E+08,2.591421E+04,4.614038E-05,9.263005E+00
26,7.034259E+08,2.829519E+04,6.335925E-05,8.784696E+00
27,7.028250E+08,3.089486E+04,8.699788E-05,8.331344E+00
28,7.021704E+08,3.373266E+04,1.194469E-04,7.901659E+00
29,7.014574E+08,3.683096E+04,1.639859E-04,7.494416E+00
30,7.006810E+08,4.021337E+04,2.251132E-04,7.108452E+00
31,6.998356E+08,4.390583E+04,3.089976E-04,6.742665E+00
32,6.989155E+08,4.793666E+04,4.240980E-04,6.396010E+00
33,6.979141E+08,5.233670E+04,5.820105E-04,6.067495E+00
34,6.968247E+08,5.713961E+04,7.986295E-04,5.756179E+00
35,6.956399E+08,6.238205E+04,1.095736E-03,5.461170E+00
36,6.943518E+08,6.810401E+04,1.503169E-03,5.181621E+00
37,6.929517E+08,7.434904E+04,2.061803E-03,4.916730E+00
38,6.914307E+08,8.116461E+04,2.827602E-03,4.665735E+00
39,6.897790E+08,8.860239E+04,3.877181E-03,4.427914E+00
40,6.879861E+08,9.671869E+04,5.315384E-03,4.202584E+00
41,6.860411E+08,1.055748E+05,7.285639E-03,3.989094E+00
